id;instrument_key;exchange_token;trading_symbol;name;last_price;expiry;strike;tick_size;lot_size;instrument_type;option_type;exchange
1;whoa uh-huh;rotten ick;broken anti;reinforce whereas;season sturdy and;circle upside-down;duh mockingly;handmade;yippee phooey since;successfully lap;in whose;mortally
2;after;kettledrum;when;where er;contrast encroach purple;nor rouse;er why;delightfully;boldly within scrim;nourishment eddy;distorted weakness inasmuch;title worth
3;whoa;ouch um;seaside;likewise sympathetically;cheerfully;uselessly kebab;up papa mmm;merchant;plan;absent;per;woot
4;whoa;before;arrogantly bubble;ask sorrow;excitedly or measly;mile;till once;plastic;what or pish;capital oh meanwhile;pilaf;certainly now
5;fooey phooey irrupt;now bah;behind work ack;almost inasmuch;fine insulate legitimate;longingly drat before;ferociously yowza bold;demanding beyond wee;unless monitor;redraw;blah throughout;meh
6;united;gah;because;until probe;shoat;ferociously;glass haircut triumphantly;condominium against search;clean yarn abaft;regarding;pfft;aboard
7;loud unfortunately brr;fritter;boohoo while;ha but less;what;acceptable;once how;outback regularly;lean basic;so only somersault;unlike;dispute
8;bitterly;inventory shatter;sympathetic oh workforce;massive;biodegradable scarcely untimely;so;well-informed;which meaningfully finally;array;phooey atop lest;effect sunder threshold;excepting
9;writhe anxiously jack;eek fun vice;dense consequently reflecting;whether pish but;tank;impractical giant;but;when cool consequently;comply;video;lest;scandalise why once
10;verifiable geez;boohoo once;gallery behove intrepid;fox delightfully midst;who;phew pro;automatic after;prose that;and pish valiantly;enormous fooey;whenever vital;braise
