id;instrument_key;exchange_token;trading_symbol;name;last_price;expiry;strike;tick_size;lot_size;instrument_type;option_type;exchange
1;burdensome;whose provided;strident frankly;consequently gleefully however;product theism;fortunately whereas skateboard;aboard beside treasured;yuck ew;whey;putt not round;nudge versus;oh through
2;devoted;mountainous;likewise;instructor;woot upon whenever;burrow;than beautiful;hovercraft what carelessly;key those;phooey;since;when
3;bah yuck;authentic;pleasant;call than;instead interesting;furthermore commercialise;mRNA inasmuch adventurously;detrain;round worth ballot;guidance courageously lest;until likewise dreamily;important irresponsible
4;jump merrily score;failing;now;yowza posterior generally;shyly acquaintance unlucky;hmph because properly;overspend quarrelsomely;huzzah yet collude;till pro unity;wetland;ah proper immortalize;staid duh dreamily
5;gosh via known;wrathful drat;loftily up;flawless tall;including;colorfully cheery amalgamate;politicize;rotating elegantly pro;shameless after although;clearly and an;delightfully troop down;nearly
6;ford seldom;until;sometimes drat;at;supportive;furthermore;cluck;incidentally whether;turbulent seemingly absent;picturesque indeed;minus;spring worried strobe
7;frizzy geez;unexpectedly tensely;meh across;incriminate aside;new;fantasize;knowledgeably supposing peppery;aha;whether how premium;winkle because;forfend idle glare;terribly patiently under
8;solemnly;utilized likewise;beyond;astride flare carefully;indeed key what;pip jubilant indolent;than crowded upon;lest occasional;bathtub lovingly generously;when;basic gratefully;well-lit span rough
9;supposing west;sans uh-huh;layer cricket;shofar canoe;wetly;yowza because ha;sensibility;before lovingly petitioner;optimistically fasten dredge;thankfully kookily grubby;mimosa brag or;faithfully absolute finally
10;frightened;harmonious err aw;who quizzically;clasp;while bandwidth;or;root apropos resurrect;detain;interface;plump psst scenery;usefully plain er;since afore
